tid,model_fqdn,compute,e2e_s,e2e_from_ts_s,queue_wait_s,total_worker_time_s,insert_ts,start_exec_ts,end_ts,http_idle,http_busy
5fa52183-2a8b-4cc8-ac7e-8855ecb4c7a2,vit_b_16-1,CPU,35.65087512,35.650649,0.000233,35.650882,2025-11-07 14:46:06.944480128,2025-11-07 14:46:06.944713887,2025-11-07 14:46:42.595362732,35.4s,1.33ms
b6556940-05d7-43f3-982b-969520208d81,resnet101-1,CPU,46.905459803,46.905385,7.7e-05,46.905462,2025-11-07 14:46:42.642302553,2025-11-07 14:46:42.642379548,2025-11-07 14:47:29.54776489,46.7s,1.18ms
99faa989-35bd-4f8f-8197-53533235d287,resnet50-1,CPU,45.785079331,45.784925,0.000156,45.785081,2025-11-07 14:47:29.735133727,2025-11-07 14:47:29.73528948,2025-11-07 14:48:15.52021435,45.6s,1.27ms
5aa85314-5b1b-4846-8200-71348668fa73,vit_b_16-1,CPU,0.775231921,0.775187,5.2e-05,0.775239,2025-11-07 14:48:24.152562002,2025-11-07 14:48:24.152614432,2025-11-07 14:48:24.927801437,773ms,489µs
07a270de-80e2-4875-bb1e-d91f522d5594,resnet101-1,CPU,1.006238689,1.006107,0.000133,1.00624,2025-11-07 14:48:25.571703446,2025-11-07 14:48:25.571836437,2025-11-07 14:48:26.577943548,1.01s,873µs
bb3b9e5b-5039-4873-8582-f73fb7a97ebb,resnet50-1,CPU,0.183208253,0.183107,0.000102,0.183209,2025-11-07 14:48:26.675875038,2025-11-07 14:48:26.6759771,2025-11-07 14:48:26.859084393,182ms,631µs
efbe0602-86c7-4d38-9e45-bb203884653a,mobilenet_v3_small-1,CPU,45.309327492,45.309267,6.2e-05,45.309329,2025-11-07 14:48:26.909429097,2025-11-07 14:48:26.909491935,2025-11-07 14:49:12.218758543,45.1s,759µs
1ace6a95-0350-4bad-93de-01d905a9bfa7,resnet34-1,CPU,45.857021435,45.85693,9.9e-05,45.857029,2025-11-07 14:49:12.258923576,2025-11-07 14:49:12.259022521,2025-11-07 14:49:58.115952785,45.7s,1.25ms
90945bb6-ff2b-4693-be14-ce113abde2fa,resnet18-1,CPU,3.549033242,3.548935,0.000104,3.549039,2025-11-07 14:49:58.265558012,2025-11-07 14:49:58.265662017,2025-11-07 14:50:01.814597816,3.33s,785µs
c67c6dc7-a2e2-4f92-b00b-fe275fa1ddbe,vit_b_16-1,CPU,5.205839624,5.205784,6e-05,5.205844,2025-11-07 14:50:26.459939653,2025-11-07 14:50:26.459999707,2025-11-07 14:50:31.665783375,5.20s,535µs
e5e34907-4f1e-466c-838b-2e00f063c376,vit_b_16-1,CPU,50.017071597,50.016932,0.000146,50.017078,2025-11-07 14:50:26.79448525,2025-11-07 14:50:26.794631375,2025-11-07 14:51:16.811563639,49.8s,750µs
969a1e82-91e5-4845-9ba6-2bce77f38690,vit_b_16-1,CPU,49.859933961,49.859842,9.3e-05,49.859935,2025-11-07 14:50:27.128086121,2025-11-07 14:50:27.128179648,2025-11-07 14:51:16.988021104,49.6s,1.14ms
3b00f4e4-0db2-4b08-9762-56d5474f6877,vit_b_16-1,CPU,45.578723973,45.578625,0.0001,45.578725,2025-11-07 14:50:27.234022406,2025-11-07 14:50:27.234122934,2025-11-07 14:51:12.812747551,45.3s,1.22ms
8ab686f7-0661-4cae-87df-015417a1cf95,vit_b_16-1,CPU,48.956377791,48.956293,8.6e-05,48.956379,2025-11-07 14:50:28.086402953,2025-11-07 14:50:28.086488844,2025-11-07 14:51:17.042781415,48.7s,606µs
6efdb8b4-ee4a-4983-acc1-c7989ebdb5ae,vit_b_16-1,CPU,49.536651137,49.536563,9.5e-05,49.536658,2025-11-07 14:50:28.088118629,2025-11-07 14:50:28.088213678,2025-11-07 14:51:17.624776589,49.3s,2.65ms
