IAR,ModelSize,mean_latency_ms,std_latency_ms,n,arrival_rate,sem_latency_ms
5000,1.0,213.86045296986893,20.474675074428646,6,0.20000000000000004,8.358751096938562
2000,1.0,234.58453019460038,15.296131417744853,6,0.5,6.244619502004922
1000,1.0,237.56841818491617,30.236279015947662,6,1.0,12.343909218249008
750,1.0,272.55450762235193,110.13123436809585,65,1.3333333333333333,13.660098424828682
500,1.0,275.6241459777389,144.49103238224885,138,2.0,12.299893495146316
5000,2.0,1399.5522022247314,467.6716763676607,5,0.2,209.14913190187426
2000,2.0,1892.2640800476074,781.6257817581267,5,0.5,349.55367619551726
1000,2.0,6990.012288093567,3336.165003842809,6,1.0,1361.9836595241939
750,2.0,17196.44085566203,3872.068467433617,9,1.3333333333333333,1290.689489144539
500,2.0,19991.555368199068,5857.931198821743,17,2.0,1420.7570047260667
5000,3.0,1841.2014354359019,635.6056388139585,11,0.2,191.64231078000503
2000,3.0,4330.881357192993,4473.184646827816,16,0.5,1118.296161706954
1000,3.0,10573.450192809105,2463.18094406483,16,1.0,615.7952360162075
750,3.0,17737.867313272814,3710.0002039168057,17,1.3333333333333333,899.8072183418852
500,3.0,20950.9221423756,7097.495215394877,66,2.0,873.6412682816357
5000,5.0,2072.795331478119,413.7648885307302,12,0.20000000000000004,119.4436348872163
2000,5.0,30230.9530377388,9322.751808548119,8,0.5,3296.0905115717624
1000,5.0,35375.89277539934,7558.3844069053075,7,1.0,2856.800779157125
750,5.0,44318.26343536377,10268.362429724064,5,1.3333333333333333,4592.151282093582
500,5.0,60432.79010057449,7588.130231233507,4,2.0,3794.0651156167537
