IAR,ModelSize,main_policy,mean_latency_ms,std_latency_ms,n,sem_latency_ms
10.0,1.0,greedy,6259.7594658533735,3268.096992437096,6,1334.1950102325368
50.0,1.0,greedy,3393.9880782907658,2960.7843050623014,22,631.2413348137309
75.0,1.0,greedy,1006.9021094929088,437.3867448151034,22,93.25116731902861
100.0,1.0,greedy,966.4961724054245,588.1903681811781,21,128.35366120162828
200.0,1.0,greedy,691.3316341546865,289.06170085550013,26,56.689663588250596
500.0,1.0,greedy,215.04440027124738,80.57681112902833,34,13.818809103923519
1000.0,1.0,greedy,216.95466475053263,57.983011557833606,11,17.48253577747042
2000.0,1.0,greedy,189.57262569003632,15.159514881324345,9,5.053171627108115
10.0,2.0,greedy,13646.186590194702,3545.477929313534,7,1340.064697118836
50.0,2.0,greedy,9983.15388506109,3950.5174828056056,11,1191.1258380186803
75.0,2.0,greedy,8441.471470726861,2740.4963997080035,9,913.4987999026679
100.0,2.0,greedy,8309.021333853403,1756.5107969907506,12,507.060990738547
200.0,2.0,greedy,6158.071845769882,1972.1231922733855,8,697.2508412958862
500.0,2.0,greedy,5696.460290388627,1559.8741376858316,11,470.31974862573463
1000.0,2.0,greedy,2940.3686890235313,796.6714880172389,13,220.95691536510384
2000.0,2.0,greedy,2384.9475913577608,2696.829959496814,9,898.9433198322713
10.0,3.0,greedy,16641.464948654175,3291.588581694726,8,1163.7523034962755
50.0,3.0,greedy,12998.41276804606,4975.888953132927,18,1172.828273730508
75.0,3.0,greedy,12078.496846285734,2198.3966698378163,11,662.8415358380779
100.0,3.0,greedy,11105.150204438429,1843.365950717869,13,511.257727289054
200.0,3.0,greedy,8348.58230749766,2631.2876128632283,12,759.5873058009564
500.0,3.0,greedy,6643.618788037981,2161.5816489406266,7,817.0010688082602
1000.0,3.0,greedy,3436.7674350738525,1033.5168533109563,10,326.8267256632757
2000.0,3.0,greedy,2835.7656717300415,4053.2633302412005,10,1281.7544080001435
10.0,2.0,randomized,26302.260569163733,1898.6955850849547,7,717.6394762215813
50.0,2.0,randomized,15551.401138305664,2388.8245475437134,11,720.2577012902728
75.0,2.0,randomized,13642.310229214754,2209.856582323209,11,666.2968294602921
100.0,2.0,randomized,12184.167385101318,2558.6488372254757,6,1044.5640136946515
200.0,2.0,randomized,11344.101450660011,2592.7214249204158,11,781.7349229433298
500.0,2.0,randomized,7925.593465566634,1459.4676573716595,8,515.9997387249725
1000.0,2.0,randomized,5387.003421783447,1712.6461537379137,9,570.8820512459712
2000.0,2.0,randomized,3068.42178106308,1444.729442739588,4,722.364721369794
10.0,3.0,randomized,28725.125687462943,3603.0917872106183,7,1361.840688556936
50.0,3.0,randomized,20182.989510622894,4883.389352522492,11,1472.397289775791
75.0,3.0,randomized,16637.534965168346,1825.9301029559124,11,550.5386404472515
100.0,3.0,randomized,15786.11820936203,1770.7797716391026,8,626.0651922569878
200.0,3.0,randomized,12455.249011516571,1929.335249939268,8,682.1230192071494
500.0,3.0,randomized,10996.482150895255,2224.6829461849647,14,594.5715270587849
1000.0,3.0,randomized,7720.110386610031,2714.569217768295,8,959.7451509421115
2000.0,3.0,randomized,3368.1359820895723,871.6878021766935,9,290.5626007255645
